source,cell_id,chemistry,nominal_Ah,T_degC,c_rate_charge,c_rate_discharge,cycle,soh_pct
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2100,61.7383
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2200,60.9284
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2300,60.0935
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2400,59.0313
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2500,58.1555
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2600,57.3166
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2700,56.3983
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2800,55.5437
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,2900,54.7259
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3000,53.9513
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3100,53.1714
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3200,52.5672
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3300,52.139
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3400,51.5753
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3500,50.8774
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3600,50.163
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3700,49.4734
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3800,49.0389
wheeler2025_A123_18650_LFP,Cell3a,Graphite/LFP,1.1,50.0,0.3333,0.3333,3900,48.4295
